Player,Team,FantPos,Age,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,PPR,PosRank,OvRank,Year,adp,draft_pick,draft_year,Experience,Rookie,Soph,Third
ShaneVereen,Patriots,RB,25,16,0.0,0.0,0.0,0.0,0.0,6.0,24.44,0.12,4.81,3.25,27.94,0.19,10.36,28,,2014,28.5,56,2011,3,0,0,0
RuebenRandle,Giants,WR,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94,4.44,58.62,0.19,11.42,35,,2014,100.9,63,2012,2,0,0,1
KennyStills,Saints,WR,22,15,0.0,0.0,0.0,0.0,0.0,0.07,-0.13,0.0,5.53,4.2,62.07,0.2,11.59,36,,2014,137.5,144,2013,1,0,1,0
KendallWright,Titans,WR,25,14,0.0,0.0,0.0,0.0,0.0,0.29,3.86,0.0,6.64,4.07,51.07,0.43,11.99,37,,2014,61.8,20,2012,2,0,0,1
VincentJackson,Buccaneers,WR,31,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,4.38,62.62,0.12,11.26,38,,2014,34.7,61,2005,9,0,0,0
GregJennings,Vikings,WR,31,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,3.69,46.38,0.38,10.58,39,,2014,133.2,52,2006,8,0,0,0
TerranceWilliams,Cowboys,WR,25,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,2.31,38.81,0.5,9.19,40,,2014,86.4,74,2013,1,0,1,0
RashadJennings,Giants,RB,29,11,0.0,0.0,0.0,0.0,0.0,15.18,58.09,0.36,3.73,2.73,20.55,0.0,12.59,31,,2014,38.4,250,2009,5,0,0,0
AndreJohnson,Texans,WR,33,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.73,5.67,62.4,0.2,12.71,41,,2014,36.4,30,1996,18,0,0,0
AndreJohnson,Texans,WR,33,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.73,5.67,62.4,0.2,12.71,41,,2014,36.4,3,2003,11,0,0,0
KnileDavis,Chiefs,RB,23,16,0.0,0.0,0.0,0.0,0.0,8.38,28.94,0.38,1.56,1.0,9.19,0.06,7.56,32,,2014,151.4,96,2013,1,0,1,0
CarsonPalmer,Cardinals,QB,35,6,23.5,37.33,271.0,1.83,0.5,1.33,4.17,0.0,0.17,0.0,0.0,0.0,17.25,31,,2014,133.7,1,2003,11,0,0,0
TerranceWest,Browns,RB,23,14,0.0,0.0,0.0,0.0,0.0,12.21,48.07,0.29,0.93,0.79,4.57,0.07,8.05,33,,2014,110.0,94,2014,0,1,0,0
JamesJones,Raiders,WR,30,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.56,41.62,0.38,10.85,45,,2014,158.4,78,2007,7,0,0,0
KeenanAllen,Chargers,WR,22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.64,5.5,55.93,0.29,12.52,48,,2014,28.0,76,2013,1,0,1,0
KennyBritt,Rams,WR,26,16,0.0,0.0,0.0,0.0,0.0,0.12,0.88,0.0,5.25,3.0,46.75,0.19,8.89,51,,2014,132.7,30,2009,5,0,0,0
MichaelCrabtree,49ers,WR,27,16,0.0,0.0,0.0,0.0,0.0,0.06,0.25,0.0,6.75,4.25,43.62,0.25,10.14,52,,2014,49.8,10,2009,5,0,0,0
PierreGarcon,WFT,WR,28,16,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,6.56,4.25,47.0,0.19,10.07,54,,2014,40.4,205,2008,6,0,0,0
ChrisJohnson,Jets,RB,29,16,0.0,0.0,0.0,0.0,0.0,9.69,41.44,0.06,2.12,1.5,9.44,0.06,7.21,34,,2014,60.0,245,2003,11,0,0,0
ChrisJohnson,Jets,RB,29,16,0.0,0.0,0.0,0.0,0.0,9.69,41.44,0.06,2.12,1.5,9.44,0.06,7.21,34,,2014,60.0,24,2008,6,0,0,0
TrentRichardson,Colts,RB,24,15,0.0,0.0,0.0,0.0,0.0,10.6,34.6,0.2,2.27,1.8,15.27,0.0,7.85,35,,2014,73.2,3,2012,2,0,0,1
LarryFitzgerald,Cardinals,WR,31,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36,4.5,56.0,0.14,10.81,55,,2014,42.0,3,2004,10,0,0,0
ReggieWayne,Colts,WR,36,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.73,4.27,51.93,0.13,10.13,56,,2014,79.9,30,2001,13,0,0,0
RobertGriffinIII,WFT,QB,24,9,16.33,23.78,188.22,0.44,0.67,4.22,19.56,0.11,0.0,0.0,0.0,0.0,9.71,36,,2014,109.9,2,2012,2,0,0,1
BrandinCooks,Saints,WR,21,10,0.0,0.0,0.0,0.0,0.0,0.7,7.3,0.1,6.9,5.3,55.0,0.3,13.93,57,,2014,72.8,20,2014,0,1,0,0
